id,name,email,phone,tenure_days,engagement_score,previous_successful_recoveries,created_at
7a26ede5-b815-4213-84f9-3d99d945624d,Aryan Maharaj,aryan.maharaj.7a26ed@gmail.com,+91 9913356886,188,41.4,1,2026-01-27T20:17:50.832317+00:00
b75287f5-8890-4a7d-8384-6867240bbccf,Liam Chaudry,liam.chaudry.b75287@hotmail.com,+91 9142868828,128,44.12,1,2026-03-25T20:17:50.832537+00:00
c1247303-4f19-4082-8200-b1cf74803ea2,Pahal Balay,pahal.balay.c12473@gmail.com,+91 9723756669,120,75.17,1,2026-04-18T20:17:50.832613+00:00
74711a53-8bef-49f4-bc34-8e7edd70eb10,Tejas Kaul,tejas.kaul.74711a@hotmail.com,+91 9989254563,120,45.8,0,2026-04-04T20:17:50.832666+00:00
275577f9-3eb8-4c5f-8c39-d735564836a0,Rushil Saini,rushil.saini.275577@gmail.com,+91 9813999315,335,69.32,4,2025-09-09T20:17:50.832734+00:00
102295ba-d8d6-413b-8b2e-e2ec5955c2ef,Arunima Ahuja,arunima.ahuja.102295@gmail.com,+91 9641227216,220,73.83,1,2026-01-13T20:17:50.832789+00:00
d7a59d50-c856-4cb0-8dc3-0e3ecf2d34eb,Harini Mall,harini.mall.d7a59d@gmail.com,+91 9885329037,102,44.0,0,2026-04-27T20:17:50.832834+00:00
cd009717-c5d1-4121-adcb-5c72442344ba,Gayathri Chaudry,gayathri.chaudry.cd0097@gmail.com,+91 8739587039,194,41.65,1,2026-02-04T20:17:50.832876+00:00
3b1bf31f-45b0-4ece-b956-9aeffca079d2,Gunbir Parmer,gunbir.parmer.3b1bf3@yahoo.com,+91 9110872248,162,50.86,1,2026-02-28T20:17:50.832919+00:00
067ae8d1-f3ac-462b-92fc-a076999122c5,Caleb Sharaf,caleb.sharaf.067ae8@hotmail.com,+91 9766722344,33,38.67,1,2026-06-27T20:17:50.832958+00:00
34aa8c81-5eae-4932-abb7-76ee9489c7f3,Kritika Brar,kritika.brar.34aa8c@hotmail.com,+91 9130868105,69,56.82,3,2026-06-05T20:17:50.833001+00:00
1e3cc8e1-835c-45b3-9866-c20727b7dbb4,Janaki Handa,janaki.handa.1e3cc8@hotmail.com,+91 8823718431,169,51.92,3,2026-03-01T20:17:50.833228+00:00
4e661d09-90ee-433e-b0b5-2202962aaf19,Chakradev Kari,chakradev.kari.4e661d@yahoo.com,+91 8722981052,317,60.41,1,2025-10-08T20:17:50.833296+00:00
